2,4,7,9,10,11,14,15,16,18,21,22,23,25,26,30,31,34,35,37
30,12,20,22,2,6,16,36,4,14,3,1,23,32,39,5,33,10,25,7
8,9,11,13,15,17,18,19,21,24,26,27,28,29,31,34,35,37,38,40
26,13,10,15,39,11,8,19,6,1,12,40,9,36,30,35,24,4,28,5
2,3,7,14,16,17,18,20,21,22,23,25,27,29,31,32,33,34,37,38
8,10,23,13,9,38,31,20,29,30,36,3,19,2,33,17,35,4,14,12
1,5,6,7,11,15,16,18,21,22,24,25,26,27,28,32,34,37,39,40
40,15,29,31,21,25,14,16,18,38,5,36,30,17,34,23,10,1,2,24
3,4,6,7,8,9,11,12,13,19,20,22,26,27,28,32,33,35,37,39
24,2,1,14,9,5,34,39,26,15,21,10,32,37,16,23,28,19,8,11
3,4,6,7,12,13,17,18,20,22,25,27,29,30,31,33,35,36,38,40
15,20,11,23,2,38,10,4,17,26,8,13,33,18,31,1,16,5,35,34
3,6,7,9,12,14,19,21,22,24,25,27,28,29,30,32,36,37,39,40
29,18,8,40,19,2,24,22,35,4,12,38,39,3,37,17,21,9,32,31
1,5,6,7,10,11,13,14,15,16,20,23,25,26,27,28,30,33,34,36
